"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test72","exit 1","0.4","2026-06-03 00:37:08","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test73","exit 1","0.41","2026-06-03 00:37:08","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test74","exit 1","0.42","2026-06-03 00:37:09","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test75","exit 1","0.4","2026-06-03 00:37:09","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test76","exit 1","0.41","2026-06-03 00:37:10","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test77","exit 1","0.4","2026-06-03 00:37:10","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test78","exit 1","0.4","2026-06-03 00:37:11","PROCESS_EXIT","0","0","0","8","0","0","0","false","0","0","0"
"test79","exit 1","0.4","2026-06-03 00:37:11","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test80","exit 1","0.4","2026-06-03 00:37:11","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test81","exit 1","0.41","2026-06-03 00:37:12","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test82","exit 1","0.4","2026-06-03 00:37:12","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test83","exit 1","0.44","2026-06-03 00:37:13","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test84","exit 1","0.4","2026-06-03 00:37:13","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test85","exit 1","0.41","2026-06-03 00:37:13","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test86","exit 1","0.4","2026-06-03 00:37:14","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test87","exit 1","0.39","2026-06-03 00:37:14","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test88","exit 1","0.4","2026-06-03 00:37:15","PROCESS_EXIT","0","0","0","8","0","0","0","false","0","0","0"
